Link,PDF Path,Title,Identifier,Summary,Facts
https://indiankanoon.org/docfragment/123660783/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Sushila_Aggarwal_vs_State_Nct_Of_Delhi_on_29_January_2020.PDF,,,,
https://indiankanoon.org/docfragment/37685877/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,M_Subramaniam_vs_S_Janaki_on_20_March_2020.PDF,,,,
https://indiankanoon.org/docfragment/117541087/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Rajnesh_vs_Neha_on_4_November_2020.PDF,,,,
https://indiankanoon.org/docfragment/143202244/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Tofan_Singh_vs_The_State_Of_Tamil_Nadu_on_29_October_2020.PDF,,,,
https://indiankanoon.org/docfragment/142302016/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,United_India_Insurance_Co_Ltd_vs_Satinder_Kaur_Satwinder_Kaur_And_Ors_on_30_June_2020.PDF,,,,
https://indiankanoon.org/docfragment/49625991/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Indore_Development_Authority_vs_Manoharlal_And_Ors_Etc_on_6_March_2020.PDF,,,,
https://indiankanoon.org/docfragment/44754964/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,West_U_P_Sugar_Mills_Association_vs_The_State_Of_Uttar_Pradesh_on_22_April_2020.PDF,,,,
https://indiankanoon.org/docfragment/31336209/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Prathvi_Raj_Chauhan_vs_Union_Of_India_on_10_February_2020.PDF,,,,
https://indiankanoon.org/docfragment/84792457/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Arnab_Manoranjan_Goswami_vs_The_State_Of_Maharashtra_on_27_November_2020.PDF,,,,
https://indiankanoon.org/docfragment/121987320/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Vidya_Drolia_vs_Durga_Trading_Corporation_on_14_December_2020.PDF,,,,
https://indiankanoon.org/docfragment/156872511/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Sonu_Sunil_vs_The_State_Of_Madhya_Pradesh_on_29_May_2020.PDF,,,,
